_id,title,description,video,thumbnail,hashtags,products,userId,likes,likeCount,shareLink,viewCount,shareCount,revenue,orders,isActive,comments,createdAt,__v,isTrending
{'$oid': '698e30532c63bfbc04769c5e'},Italian pants,Italian pants,"{'public_id': 'zatch/Bits/1770926159931-840210559-1000346333.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1770926159931-840210559-1000346333.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1770926163243-530058551-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1770926163243-530058551-video_thumb.png'}","['#pants', '#italian', '#style']",[{'$oid': '698e2fc02c63bfbc047698b2'}],{'$oid': '698e25132c63bfbc047683d8'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '698e25132c63bfbc047683d8'}]",2,/bits/1770926163694-698e25132c63bfbc047683d8,54,1,0,0,False,"[{'userId': {'$oid': '698e25132c63bfbc047683d8'}, 'text': 'ygbhi', '_id': {'$oid': '69b8492cd5ba7b8d34deeef7'}, 'createdAt': {'$date': '2026-03-16T18:17:16.392Z'}}]",{'$date': '2026-02-12T19:56:03.694Z'},3,True
{'$oid': '698e32a92c63bfbc0476ab3b'},Turtleneck shirts,,"{'public_id': 'zatch/Bits/1770926758467-327345548-1000346301.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1770926758467-327345548-1000346301.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1770926761058-859479363-video_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1770926761058-859479363-video_thumb.png'}","['#turtleneck', '#fashion', '#men']",[{'$oid': '698e32212c63bfbc0476a7f2'}],{'$oid': '698e25132c63bfbc047683d8'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '698e6cbe2c63bfbc0476bfa7'}, {'$oid': '699db7d01efc346e038a285b'}]",3,/bits/1770926761537-698e25132c63bfbc047683d8,78,0,0,0,False,[],{'$date': '2026-02-12T20:06:01.538Z'},3,True
{'$oid': '698e33892c63bfbc0476b11f'},Leather jacket,,"{'public_id': 'zatch/Bits/1773061731962-97819810-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773061731962-97819810-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773061734607-585736512-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773061734607-585736512-edit_thumb.png'}","['#jacket', '#fashion', '#style']",[{'$oid': '698e33212c63bfbc0476ae08'}],{'$oid': '698e25132c63bfbc047683d8'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '698e6cbe2c63bfbc0476bfa7'}, {'$oid': '69a001c31efc346e038a8bfc'}]",3,/bits/1770926985068-698e25132c63bfbc047683d8,87,0,0,0,False,[],{'$date': '2026-02-12T20:09:45.068Z'},5,True
{'$oid': '69a31d440a0ce3fd3a6bc51f'},Accessories u may like,new,"{'public_id': 'zatch/Bits/1772297911449-915422250-Most_affordable_ring_set_from_Meesho_Jewels_galaxy_ring_set_720P.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772297911449-915422250-Most_affordable_ring_set_from_Meesho_Jewels_galaxy_ring_set_720P.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772297913698-982070165-download (9).jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772297913698-982070165-download (9).jpg'}","['Fashion', 'art', 'new']",[{'$oid': '698e33212c63bfbc0476ae08'}],{'$oid': '698e25132c63bfbc047683d8'},[{'$oid': '698e259d2c63bfbc04768479'}],1,/bits/1772297540237-698e25132c63bfbc047683d8,52,1,0,0,False,[],{'$date': '2026-02-28T16:52:20.239Z'},1,True
{'$oid': '69a330f30a0ce3fd3a6be9b0'},Accessories u may like,new,"{'public_id': 'zatch/Bits/1772302576329-184546126-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772302576329-184546126-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772302578703-264445620-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772302578703-264445620-edit_thumb.png'}","['Fashion', 'art', 'new']",[{'$oid': '698e33212c63bfbc0476ae08'}],{'$oid': '698e25132c63bfbc047683d8'},[{'$oid': '69a001c31efc346e038a8bfc'}],1,/bits/1772302579151-698e25132c63bfbc047683d8,19,0,0,0,False,[],{'$date': '2026-02-28T18:16:19.152Z'},1,False
{'$oid': '69a3e4130a0ce3fd3a6c2507'},shop!,new!!!,"{'public_id': 'zatch/Bits/1772348433170-708445544-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772348433170-708445544-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772348434980-706168204-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772348434980-706168204-edit_thumb.png'}","['#fashion', '#trending', '#sale']","[{'$oid': '6999d5543ec6020eaac6152d'}, {'$oid': '6995d3468c1ab0f14cb59635'}]",{'$oid': '698e264a2c63bfbc04768582'},[{'$oid': '698e259d2c63bfbc04768479'}],1,/bits/1772348435617-698e264a2c63bfbc04768582,51,1,0,0,False,[],{'$date': '2026-03-01T07:00:35.618Z'},1,False
{'$oid': '69a43b900a0ce3fd3a6c35e9'},Accessories u may like,new,"{'public_id': 'zatch/Bits/1772371035063-748271631-Most_affordable_ring_set_from_Meesho_Jewels_galaxy_ring_set_720P.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772371035063-748271631-Most_affordable_ring_set_from_Meesho_Jewels_galaxy_ring_set_720P.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772371037394-147412380-1gj.jpg', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772371037394-147412380-1gj.jpg'}","['Fashion', 'art', 'new']",[],{'$oid': '698e264a2c63bfbc04768582'},"[{'$oid': '698e25132c63bfbc047683d8'}, {'$oid': '69a001c31efc346e038a8bfc'}]",2,/bits/1772370832652-698e264a2c63bfbc04768582,56,0,0,0,False,"[{'userId': {'$oid': '69a001c31efc346e038a8bfc'}, 'text': 'ghjjj', '_id': {'$oid': '69a8bd7f4e2d6530993ad9d5'}, 'createdAt': {'$date': '2026-03-04T23:17:19.148Z'}}]",{'$date': '2026-03-01T13:13:52.653Z'},3,False
{'$oid': '69a69a9d0a0ce3fd3a6cae83'},Mens Strips Collection,"Mens Classy & Stylish Collections 

Premium Fabric 
Perfect Fitting 
Slim Fit Styling 

Affordable Price
Available Sizes 
S M L","{'public_id': 'zatch/Bits/1772526234023-147218444-1000350561.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772526234023-147218444-1000350561.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772526236772-227298597-1000350412.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772526236772-227298597-1000350412.png'}","['#shirts', '#mensstrips', '#strip shirts', '#shirtsunder499', '#menscollection']",[{'$oid': '69988931722cd8db737026d5'}],{'$oid': '6992fed22c63bfbc04771576'},"[{'$oid': '6992fed22c63bfbc04771576'}, {'$oid': '699f0b381efc346e038a7963'}, {'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '69a001c31efc346e038a8bfc'}, {'$oid': '698e25132c63bfbc047683d8'}, {'$oid': '69b15fd4c203397431aea856'}]",6,/bits/1772526237278-6992fed22c63bfbc04771576,156,0,0,0,True,"[{'userId': {'$oid': '69a001c31efc346e038a8bfc'}, 'text': 'Good product', '_id': {'$oid': '69ae5fc6cb66544f3dc6b942'}, 'createdAt': {'$date': '2026-03-09T05:51:02.983Z'}}]",{'$date': '2026-03-03T08:23:57.279Z'},9,False
{'$oid': '69a997184e2d6530993ae84c'},new,new collection,"{'public_id': 'zatch/Bits/1772721941709-210097489-1000282314.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1772721941709-210097489-1000282314.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1772721943993-674922087-1000279371.webp', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1772721943993-674922087-1000279371.webp'}","['#trend', '#clock', '#new']",[{'$oid': '6999d5543ec6020eaac6152d'}],{'$oid': '698e264a2c63bfbc04768582'},[{'$oid': '698e259d2c63bfbc04768479'}],1,/bits/1772721944477-698e264a2c63bfbc04768582,46,0,0,0,False,"[{'userId': {'$oid': '698e259d2c63bfbc04768479'}, 'text': 'good product', '_id': {'$oid': '69aa72084e2d6530993b3e1e'}, 'createdAt': {'$date': '2026-03-06T06:19:52.19Z'}}]",{'$date': '2026-03-05T14:45:44.478Z'},4,False
{'$oid': '69aac90f4e2d6530993b50a6'},Lenin shirts,Lenin shirts,"{'public_id': 'zatch/Bits/1773061552080-386241987-edit_video.mp4', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/1773061552080-386241987-edit_video.mp4'}","{'public_id': 'zatch/Bits/thumbnails/1773061555902-443516493-edit_thumb.png', 'url': 'https://zatchP.b-cdn.net/zatch/Bits/thumbnails/1773061555902-443516493-edit_thumb.png'}","['#lenin', '#fashion', '#men']",[{'$oid': '69a846974e2d6530993ab1c1'}],{'$oid': '698e25132c63bfbc047683d8'},"[{'$oid': '698e259d2c63bfbc04768479'}, {'$oid': '69e6f79ae9d9e96620246e32'}]",2,/bits/1772800271409-698e25132c63bfbc047683d8,87,2,0,0,False,[],{'$date': '2026-03-06T12:31:11.409Z'},6,True
